time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-21 00:00:00+00:00,2,2,20.0,5.0
2023-02-22 00:00:00+00:00,2,2,6.0,6.0
2023-02-23 00:00:00+00:00,1,1,1.0,1.0
2023-02-24 00:00:00+00:00,1,1,3.0,1.0
2023-02-25 00:00:00+00:00,2,2,2.0,1.0
2023-02-26 00:00:00+00:00,1,1,,
2023-02-27 00:00:00+00:00,1,1,,
2023-02-28 00:00:00+00:00,1,1,11.0,2.0
2023-03-01 00:00:00+00:00,2,2,4.0,2.0
2023-03-02 00:00:00+00:00,6,5,10.0,2.0
2023-03-03 00:00:00+00:00,1,1,,
2023-03-04 00:00:00+00:00,2,2,,
2023-03-05 00:00:00+00:00,1,1,,
2023-03-06 00:00:00+00:00,12,4,3.0,2.0
